time_ms,power_mw,power_dbm
10.2,2.441637442354854e-13,-126.12318823795896
10.25,4.572191516956559e-15,-143.39875586453613
10.3,4.2107116722584685e-14,-133.7564449579992
10.35,1.0494788858766718e-13,-129.79026294422687
10.4,1.4056536546904743e-14,-138.52121673900874
10.45,5.5978830692965384e-14,-132.5197617748287
10.5,4.403911242270678e-14,-133.56161442511484
10.55,1.1868561917609396e-13,-129.2560190017623
10.6,1.9093179804175843e-13,-127.19121737588193
10.65,1.6844143133810996e-13,-127.73551076800564
10.7,3.0188936016670517e-13,-125.20152193046184
10.75,3.0211309511479232e-15,-145.19830449791806
10.8,2.7356534203125106e-14,-135.62938924196055
10.85,8.194545534474465e-14,-130.86475127187188
10.9,1.071379605038551e-13,-129.70056625186905
10.95,2.211036896721122e-13,-126.5540401006322
11.0,2.2907933368547037e-14,-136.40014088773063
11.05,3.503061940688771e-14,-134.5555218347548
11.1,2.900307232341936e-14,-135.37555994430917
11.15,3.937233902875086e-14,-134.04808783911707
11.2,1.6368018525725222e-14,-137.8600389208648
11.25,6.944954758358309e-14,-131.5833057904938
11.3,7.514741345028882e-14,-131.24085963095686
11.35,8.455762487893913e-14,-130.7284722433423
11.4,3.1466205868043523e-13,-125.02155620286993
11.45,6.767986783176232e-14,-131.6954049807767
11.5,4.497686375943144e-14,-133.47010831236085
11.55,2.8175167174765467e-13,-125.5013349842781
11.6,9.728346140436328e-15,-140.1196098533624
11.65,1.923317169558751e-15,-147.15949091408442
11.7,1.0814996348015926e-14,-139.65973622876467
11.75,1.4238887431070172e-13,-128.46523943383391
11.8,1.8968519722745588e-13,-127.2196655953449
11.85,2.024557510916942e-15,-146.93669881864636
11.9,2.2100772116803622e-14,-136.55592553454727
11.95,5.161785920802176e-14,-132.87200011288132
12.0,7.670542129004072e-14,-131.15173940442864
12.05,6.676371227695865e-14,-131.75459523152537
12.1,1.5533320498201496e-13,-128.08735696885623
12.15,1.215287483927504e-13,-129.15320974810658
12.2,1.5704524012618715e-13,-128.03975222068777
12.25,7.73431535151203e-14,-131.11578124397755
12.3,2.723143370039872e-14,-135.64929493005215
12.35,1.4132921996350116e-13,-128.49768038031294
12.4,4.976492091472629e-13,-123.03076681764884
12.45,1.4622131071439414e-14,-138.34989327438353
12.5,1.0064764283679775e-13,-129.97196391813173
12.55,2.8772970073176106e-13,-125.41015305999315
12.6,2.87491185320331e-13,-125.41375466541052
12.65,1.4335369536092829e-13,-128.4359110736225
12.7,1.240583925924656e-13,-129.06373850228482
12.75,3.7276221814967775e-13,-124.28568112628768
12.8,9.262480728620003e-16,-150.33272682598331
12.85,1.269123103561322e-13,-128.96496249769467
12.9,9.935793611957319e-14,-130.02797438314735
12.95,9.745003990268313e-15,-140.11217978716584
13.0,2.1632063466201703e-13,-126.64902051562203
13.05,3.9907122287548646e-14,-133.9894958816932
13.1,4.2587827402034236e-13,-123.70714514689689
13.15,4.273366559485433e-13,-123.69229852810247
13.2,1.452006573654234e-13,-128.3803141745459
13.25,3.413942581204926e-14,-134.66743787519925
13.3,6.77708002983573e-14,-131.68957385791165
13.35,3.6661739342466955e-14,-134.35786934657042
13.4,1.7250722398168453e-13,-127.63192713520029
13.45,1.4369408429848443e-13,-128.42561110845654
13.5,2.602907564721313e-14,-135.84541254420256
13.55,1.2860249641080996e-13,-128.90750600875901
13.6,1.3742372538879766e-14,-138.61938282444305
13.65,3.99545924591389e-13,-123.98433294822247
13.7,7.911930524600199e-15,-141.0171753497448
13.75,2.852203752118184e-14,-135.44819453132982
