time_seconds,power_dbm
0.422,-100.32494268062737
0.423,-99.82829448706137
0.424,-100.38328272092733
0.425,-100.13327222816389
0.426,-100.06403595700174
0.427,-99.88575262705172
0.428,-99.54621494846518
0.429,-100.13983501972112
0.43,-99.79198299472772
0.431,-100.08656163419022
0.432,-100.4364531117249
0.433,-99.75996061230312
0.434,-100.18462558183651
0.435,-99.95903762906393
0.436,-99.81995792797031
0.437,-100.24085333399645
0.438,-99.79449561851534
0.439,-100.20990290408679
0.44,-100.41355167433535
0.441,-99.63448920328229
0.442,-99.65226648638102
0.443,-100.25622383808147
0.444,-100.15595240461695
0.445,-100.17286879887
0.446,-100.2094194193021
0.447,-99.71084676257138
0.448,-99.86550423110387
0.449,-99.34942414977989
0.45,-99.70415358702667
0.451,-99.79764729703282
0.452,-100.14522481786312
0.453,-99.6879623684326
0.454,-99.89955237370643
0.455,-99.97041533688078
0.456,-99.88349070034086
0.457,-100.13955050532165
0.458,-99.72335058737308
0.459,-100.3390634545189
0.46,-100.31325679031676
0.461,-99.72431784278075
0.462,-100.17738693778962
0.463,-100.4974524622302
0.464,-100.00090472738523
0.465,-100.10411869577277
0.466,-99.7308924282598
0.467,-100.07332819697884
0.468,-100.18240605468942
0.469,-99.9147577019376
0.47,-100.1055063335709
0.471,-100.19016472692097
0.472,-100.13246757234177
0.473,-100.19657434576463
0.474,-99.81037080784213
0.475,-100.01070372117297
0.476,-100.11385285245196
0.477,-99.58059949037946
0.478,-100.2952584076318
0.479,-99.76569850707007
0.48,-99.29199708429198
0.481,-98.52922342246315
0.482,-97.62990900779413
0.483,-96.0396703146115
0.484,-95.5117764944467
0.485,-96.72564492909697
0.486,-97.93494511025168
0.487,-98.84557779525501
0.488,-99.40833377485657
0.489,-100.2023514511156
0.49,-99.91630216547539
0.491,-99.85701587058085
0.492,-100.09430409972043
0.493,-99.60460156349293
0.494,-99.85905587013812
0.495,-99.82430120978084
0.496,-99.93879220432517
0.497,-99.75391931762609
0.498,-100.04821944850275
0.499,-100.37660346666767
0.5,-100.30902208105324
0.501,-100.17617612504229
0.502,-100.08672318766729
0.503,-100.33229144672563
0.504,-100.40389621636072
0.505,-99.97593368847501
0.506,-100.2770834863075
0.507,-100.09263257289213
0.508,-100.03194871759057
0.509,-100.34481176340508
0.51,-99.30877204910131
0.511,-100.29470964776446
0.512,-99.90039386679443
