frequency_mhz,amplitude_spectrum,power_spectrum
-3.872549019607843,2.690943277248431e-16,7.241175721368526e-32
-3.865546218487395,2.0099591763227763e-16,4.039935890484133e-32
-3.858543417366947,2.627643143449447e-16,6.904508489316892e-32
-3.8515406162464987,1.1652597347723177e-16,1.3578302494816523e-32
-3.8445378151260505,1.1383669291331462e-16,1.2958792653440293e-32
-3.8375350140056024,3.2555966841589184e-16,1.0598909769906542e-31
-3.830532212885154,3.050605078193083e-16,9.306191343097425e-32
-3.823529411764706,2.0405961995496516e-16,4.164032849616482e-32
-3.816526610644258,1.4249642011397894e-16,2.0305229745299582e-32
-3.8095238095238093,2.596728883046456e-16,6.743000892047694e-32
-3.802521008403361,9.55750379252363e-17,9.134587874410355e-33
-3.795518207282913,1.2789186361522763e-16,1.6356328778975984e-32
-3.788515406162465,7.678262982614775e-17,5.8955722430192324e-33
-3.7815126050420167,2.7379798013245754e-16,7.496533392461362e-32
-3.7745098039215685,1.5722847346799083e-16,2.47207928690747e-32
-3.7675070028011204,5.1825970863920436e-17,2.68593125598793e-33
-3.7605042016806722,2.9723903415431735e-16,8.835104342499144e-32
-3.753501400560224,1.7745961538491753e-16,3.149191509256286e-32
-3.746498599439776,1.2832264423908535e-16,1.6466701024510867e-32
-3.7394957983193278,2.3501639674562467e-16,5.523270673929687e-32
-3.7324929971988796,1.7244805941845926e-16,2.9738333197192456e-32
-3.7254901960784315,2.0439754365315705e-16,4.177835585144424e-32
-3.7184873949579833,1.7922767085444856e-16,3.212255799991055e-32
-3.711484593837535,1.189253828963079e-16,1.4143246697033442e-32
-3.704481792717087,2.040965384769016e-16,4.165539701825337e-32
-3.697478991596639,4.2551274808993985e-16,1.8106109878705264e-31
-3.6904761904761907,1.5909870963418634e-16,2.5312399407263135e-32
-3.6834733893557425,3.895241089859631e-17,1.5172903148130842e-33
-3.6764705882352944,1.1443916996305594e-16,1.3096323621833204e-32
-3.6694677871148462,7.027642896399891e-17,4.938776467931985e-33
-3.662464985994398,9.588327891796749e-17,9.193603176060748e-33
-3.65546218487395,2.2740210068001523e-16,5.171171539368379e-32
-3.6484593837535018,1.5942040365520615e-16,2.5414865101588866e-32
-3.6414565826330536,1.0999449878270693e-16,1.2098789762458915e-32
-3.6344537815126055,3.1860297187824074e-16,1.0150785368964705e-31
-3.6274509803921573,1.356813142094442e-16,1.8409419025601927e-32
-3.6204481792717087,2.197419490183965e-16,4.828652415840357e-32
-3.6134453781512605,5.42332428888257e-17,2.941244634238363e-33
-3.6064425770308124,2.7288156968440483e-16,7.44643510734247e-32
-3.5994397759103642,1.7438162686765463e-16,3.0408951789009926e-32
-3.592436974789916,1.8654847764387164e-16,3.4800334511246074e-32
-3.585434173669468,2.121357914624311e-16,4.5001594019392054e-32
-3.5784313725490198,9.851877723143391e-17,9.705949467176903e-33
-3.5714285714285716,3.1274325747793633e-16,9.780834509791077e-32
-3.5644257703081235,1.8083092317646534e-16,3.269982277685271e-32
-3.557422969187675,6.247189980511199e-17,3.90273826525995e-33
-3.5504201680672267,1.0874153116195356e-16,1.1824720599446117e-32
-3.5434173669467786,5.616121948550424e-17,3.154082574098981e-33
-3.5364145658263304,5.712889145873653e-17,3.2637102393041006e-33
-3.5294117647058822,1.111911913466644e-16,1.2363481033090535e-32
-3.522408963585434,1.4188607595022836e-16,2.0131658548553973e-32
-3.515406162464986,1.1004163043418213e-16,1.2109160428613118e-32
-3.508403361344538,7.338895189530493e-17,5.3859382602913816e-33
-3.5014005602240896,6.791068546536079e-17,4.611861200375166e-33
-3.4943977591036415,2.1537816262767763e-16,4.6387752936874356e-32
-3.4873949579831933,2.396728530994929e-16,5.744307651285111e-32
-3.480392156862745,1.9893066805967e-16,3.9573410694666614e-32
-3.473389355742297,1.295778051858916e-16,1.6790407596792877e-32
